ID,PAYS,PROVINCE,CPROV_SNIS,DIST_ADM,CDA_SNIS,TERRITOIRE,CTER_SNIS,DIST_SA,NOM_ZS,CZS_SNIS,SCE_GEO,Cde_ZS_PUC,Cde_DS_PUC,Nom_DS_PUC,Nom_ZS_PUC,Area,Pop,PopDensity
0,RDC,Bandundu,03,Kwilu,0304,Idiofa,030404,Kwilu,Kimputu,03040403,OMS,03040403,0304,Kwilu,Kimputu,2639.28011860000,158944.00000000000,60.22
0,RDC,Bandundu,03,Kwilu,0304,Idiofa,030405,Kwilu,Mosango,03040503,OMS,03040503,0304,Kwilu,Mosango,1681.91082228000,90751.00000000000,53.96
0,RDC,Bandundu,03,Kwilu,0304,Idiofa,030405,Kwilu,Pay Kongila,03040504,OMS,03040504,0304,Kwilu,Pay Kongila,1467.80596795000,111583.00000000000,76.02
0,RDC,Bas-Congo,02,Matadi,0205,"MVUZI, MATADI",020501,Matadi,Matadi,02050101,OMS,02050101,0205,Matadi,Matadi,64.73354915700,166566.00000000000,2573.10
0,RDC,Bas-Congo,02,Matadi,0205,NZANZA,020502,Matadi,Nzanza,02050201,OMS,02050201,0205,Matadi,Nzanza,46.78678513590,124426.00000000000,2659.40
0,RDC,Kinshasa,01,Ndjili,0105,NDJILI,010503,Ndjili,Ndjili,01050301,Div_snis,01050301,0105,Ndjili,Ndjili,9.06414307041,234644.00000000000,25887.00
0,RDC,Kinshasa,01,Lukunga,0104,MONT NGAFULA,010404,Lukunga,Mont Ngafula I,01040401,OMS,01040401,0104,Lukunga,Mont Ngafula I,338.91185451100,185258.00000000000,546.63
0,RDC,Kinshasa,01,Ndjili,0105,KIMBANSEKE,010501,Ndjili,Biyela,01050101,Div_snis,01050101,0105,Ndjili,Biyela,90.33994162560,163987.00000000000,1815.20
0,RDC,Kinshasa,01,Ndjili,0105,KIMBANSEKE,010501,Ndjili,Kikimi,01050102,Div_snis,01050102,0105,Ndjili,Kikimi,146.04349317800,220605.00000000000,1510.50
0,RDC,Kinshasa,01,Kalamu,0103,LEMBA,010304,Kalamu,Lemba,01030401,OMS,01030401,0103,Kalamu,Lemba,13.82215186230,234639.00000000000,16975.00
0,RDC,Kinshasa,01,Kalamu,0103,MATETE,010305,Kalamu,Matete,01030501,OMS,01030501,0103,Kalamu,Matete,4.73164341977,210119.00000000000,44407.00
0,RDC,Kinshasa,01,Kalamu,0103,KISENSO,010303,Kalamu,Kisenso,01030301,OMS,01030301,0103,Kalamu,Kisenso,15.62257339480,298690.00000000000,19119.00
0,RDC,Kinshasa,01,Gombe,0102,LINGWALA,010204,Gombe,Lingwala,01020401,OMS,01020401,0102,Gombe,Lingwala,2.63058854924,62681.00000000000,23827.00
0,RDC,Kinshasa,01,Gombe,0102,BARUMBU,010201,Gombe,Barumbu,01020101,OMS,01020101,0102,Gombe,Barumbu,4.23134414891,110651.00000000000,26150.00
0,RDC,Kinshasa,01,Gombe,0102,KINSHASA,010203,Gombe,Kinshasa,01020301,OMS,01020301,0102,Gombe,Kinshasa,3.01860625500,121128.00000000000,40127.00
0,RDC,Kinshasa,01,Kalamu,0103,LIMETE,010302,Kalamu,Limete,01030202,OMS,01030202,0103,Kalamu,Limete,12.43173290360,136784.00000000000,11002.00
0,RDC,Kinshasa,01,Kalamu,0103,KALAMU,010301,Kalamu,Kalamu II,01030102,OMS,01030102,0103,Kalamu,Kalamu II,2.46575076923,94858.00000000000,38470.00
0,RDC,Kinshasa,01,Kalamu,0103,KALAMU,010301,Kalamu,Kalamu I,01030101,OMS,01030101,0103,Kalamu,Kalamu I,3.52074227595,106273.00000000000,30184.00
0,RDC,Kinshasa,01,Funa,0101,BUMBU,010101,Funa,Bumbu,01010101,OMS,01010101,0101,Funa,Bumbu,4.36313806680,272690.00000000000,62498.00
0,RDC,Kinshasa,01,Funa,0101,MAKALA,010103,Funa,Makala,01010301,OMS,01010301,0101,Funa,Makala,5.16870679491,226555.00000000000,43832.00
0,RDC,Kinshasa,01,Kalamu,0103,NGABA,010306,Kalamu,Ngaba,01030601,OMS,01030601,0103,Kalamu,Ngaba,2.79459998752,132578.00000000000,47440.00
